MODEL_ID,MANUFACTURER_ID,MODEL_NAME
1,1,GT
2,1,145
3,1,146
4,1,147
5,1,155
6,1,156
7,1,159
7,1,159 Sportwagon
8,1,164
9,1,166
10,1,GTV
11,1,Brera
12,1,Spider
13,1,Crosswagon
14,2,B3
15,2,B5
16,2,B6
17,2,B7
18,2,B8
19,2,D3
20,2,B10
21,2,B12
22,2,D10
23,2,Roadster
24,2,Roadster S
25,3,A6610
26,4,10
27,4,24
28,5,Rocsta
29,6,V8
30,6,DB7
31,6,DB9
32,6,DBS
33,6,Virage
34,6,Vantage
35,6,Volante
36,6,Vanquish
37,6,V8 Vantage
38,7,80
39,7,A2
40,7,A3
41,7,A4
42,7,A5
43,7,A6
44,7,A8
45,7,Q7
46,7,R8
47,7,S2
48,7,S3
49,7,S4
50,7,S5
51,7,S6
52,7,S8
53,7,TT
54,7,RS4
55,7,RS6
56,7,Coupe
57,7,Cabriolet
58,7,allroad quattro
59,8,Azure
60,8,Turbo
61,8,Arnage
62,8,Brooklands
63,8,Continental
64,8,Continental GT
65,8,Continental Flying Spur
66,9,X3
67,9,X5
68,9,X6
69,9,Z3
70,9,Z4
71,9,Z8
72,9,1er-Reihe
73,9,3er-Reihe
74,9,5er Reihe
75,9,6er-Reihe
76,9,7er-Reihe
77,9,8er-Reihe
78,10,BS6
82,12,EB 110
83,12,EB 112
84,13,Park Avenue
85,14,BLS
86,14,CTS
87,14,SRX
88,14,STS
89,14,XLR
90,14,Seville
91,14,Eldorado
92,14,Escalade
93,15,Super 7
95,17,HHR
96,17,Aveo
97,17,S-10
98,17,Alero
99,17,Astro
100,17,Epica
200,30,500
300,40,Terracan
400,59,Coupé
500,68,Sunny
600,75,Mascott
700,87,Wagon R+
101,17,Kalos
102,17,Matiz
104,17,Rezzo
105,17,Tahoe
106,17,Blazer
107,17,Camaro
108,17,Evanda
110,17,Nubira
111,17,Beretta
112,17,Captiva
113,17,Lacetti
114,17,Corvette
115,17,Suburban
116,17,TrailBlazer
117,17,Trans Sport
118,18,300C
119,18,300M
120,18,Neon
121,18,Viper
122,18,Vision
123,18,Sebring
124,18,Stratus
125,18,Voyager
126,18,Crossfire
127,18,New Yorker
128,18,PT Cruiser
129,18,Grand Voyager
130,19,AX
131,19,C1
132,19,C2
133,19,C3
134,19,C4
135,19,C5
136,19,C6
137,19,C8
138,19,XM
139,19,ZX
140,19,C15   
141,19,Saxo
142,19,Jumpy
143,19,Xsara
144,19,Jumper
145,19,Xantia
146,19,Evasion
147,19,Berlingo
148,19,C-Crosser
149,19,C3 Pluriel
150,19,C4 Picasso
151,19,Xsara Picasso
152,19,Grand C4 Picasso
153,20,C6
154,21,Logan
155,22,Kalos
156,22,Lanos
157,22,Matiz
158,22,Nexia
159,22,Rezzo
160,22,Espero
161,22,Evanda
162,22,Nubira
163,22,Lacetti
164,22,Leganza
165,23,YRV
166,23,Move
167,23,Copen
168,23,Cuore
169,23,Hijet
170,23,Rocky
171,23,Feroza
172,23,Sirion
173,23,Terios
174,23,Trevis
175,23,Charade
176,23,Materia
177,23,Applause
